Player,Season,Points,Field Goal %,Three Pointer %,Free Throw %,ORB,Turnovers
Andrew Wiggins,2022,21,0.727,0.6,0.5,0,0
Andrew Wiggins,2022,12,0.364,0.333,0.5,0,1
Andrew Wiggins,2022,19,0.615,0.429,0,2,1
Andrew Wiggins,2022,11,0.333,0.167,0,2,2
Andrew Wiggins,2022,17,0.438,0.333,0.25,0,0
Andrew Wiggins,2022,14,0.353,0.2,0.5,1,1
Andrew Wiggins,2022,14,0.455,0.2,0.75,2,2
Andrew Wiggins,2022,19,0.583,0.625,0,0,0
Andrew Wiggins,2022,24,0.556,0.5,,1,0
Andrew Wiggins,2022,23,0.571,0.5,1,1,1
Andrew Wiggins,2022,,,,,,
Andrew Wiggins,2022,12,0.417,0.5,,0,1
Andrew Wiggins,2022,15,0.4,0.333,,0,3
Andrew Wiggins,2022,13,0.455,0.4,0.5,0,2
Andrew Wiggins,2022,15,0.462,0.5,1,3,0
Andrew Wiggins,2022,19,0.467,0.429,0.4,0,0
Andrew Wiggins,2022,13,0.5,0.5,0.5,1,1
Andrew Wiggins,2022,9,0.333,0.2,,1,2
Andrew Wiggins,2022,10,0.308,0.25,0,1,0
Andrew Wiggins,2022,,,,,,
Andrew Wiggins,2022,18,0.438,0.333,0.4,1,0
Andrew Wiggins,2022,12,0.385,0.333,,1,3
Andrew Wiggins,2022,17,0.412,0.333,0.5,3,3
Andrew Wiggins,2022,14,0.4,0.5,0,2,1
Andrew Wiggins,2022,,,,,,
Andrew Wiggins,2022,14,0.429,0.4,,2,5
Andrew Wiggins,2022,7,0.273,0.143,0,0,1
Andrew Wiggins,2022,21,0.5,0.375,1,4,1
Andrew Wiggins,2022,,,,,,
Andrew Wiggins,2022,,,,,,
Andrew Wiggins,2022,16,0.385,0,0.667,3,1
Andrew Wiggins,2022,13,0.263,0.333,0.5,3,1
Andrew Wiggins,2022,22,0.5,0.429,1,0,1
Andrew Wiggins,2022,9,0.444,0.25,,0,0
Andrew Wiggins,2022,23,0.571,0,0.7,1,3
Andrew Wiggins,2022,10,0.333,0,,2,3
Andrew Wiggins,2022,19,0.375,0.333,0.625,4,3
Andrew Wiggins,2022,17,0.7,0.75,,1,2
Andrew Wiggins,2022,25,0.5,0.571,0.833,0,1
Andrew Wiggins,2022,17,0.583,0.6,,2,2
Andrew Wiggins,2022,,,,,,
Andrew Wiggins,2022,15,0.385,0.286,0.375,0,1
Andrew Wiggins,2022,,,,,,
Anthony Edwards,2023,11,0.235,0.143,0.5,1,2
Anthony Edwards,2023,30,0.522,0.333,0.6,1,5
Anthony Edwards,2023,30,0.684,0.429,0.333,2,4
Anthony Edwards,2023,9,0.2,0.125,0.667,0,3
Anthony Edwards,2023,34,0.571,0.583,0.75,0,5
Anthony Edwards,2023,29,0.5,0.375,0.667,0,2
Anthony Edwards,2023,18,0.389,0.25,1,0,1
Anthony Edwards,2023,24,0.381,0.5,0.6,0,3
Anthony Edwards,2023,24,0.526,0.333,0.5,1,3
Anthony Edwards,2023,19,0.538,0.4,1,0,4
Anthony Edwards,2023,16,0.357,0.143,0.833,1,3
Anthony Edwards,2023,11,0.333,0,0.5,0,3
Anthony Edwards,2023,28,0.625,0.75,0.714,1,1
Anthony Edwards,2023,10,0.385,0,,0,4
Anthony Edwards,2023,35,0.6,0.538,0.571,0,1
Anthony Edwards,2023,25,0.333,0.2,1,0,5
