Player,Season,Points,Field Goals,FG Attempts,FG%,Three Pointers,3P Attempts,3P%,Free Throws,FT Attempts,FT%,ORB,DRB,TRB,Assists,Blocks,Steals,Turnovers,Personal Fouls
DeAndre Jordan,2017,6,3,6,.500,0,0,,0,0,,1,8,9,0,0,0,1,2
DeAndre Jordan,2017,17,4,6,.667,0,0,,9,14,.643,3,12,15,0,1,0,1,4
DeAndre Jordan,2017,16,5,8,.625,0,0,,6,9,.667,0,8,8,2,1,1,1,2
DeAndre Jordan,2017,12,5,5,1.000,0,0,,2,3,.667,2,7,9,1,3,1,2,3
DeAndre Jordan,2017,8,2,3,.667,0,0,,4,7,.571,2,12,14,0,3,1,1,3
DeAndre Jordan,2017,21,9,13,.692,0,1,.000,3,4,.750,5,17,22,1,1,0,2,3
DeAndre Jordan,2017,9,4,8,.500,0,0,,1,3,.333,8,7,15,0,1,0,0,1
DeAndre Jordan,2017,,,,,,,,,,,,,,,,,,
DeAndre Jordan,2017,6,2,2,1.000,0,0,,2,2,1.000,3,10,13,2,3,0,1,1
DeAndre Jordan,2017,9,3,3,1.000,0,0,,3,5,.600,4,11,15,0,2,2,3,1
DeAndre Jordan,2017,10,5,7,.714,0,0,,0,4,.000,5,7,12,0,2,0,0,3
DeAndre Jordan,2017,19,9,11,.818,0,0,,1,1,1.000,5,4,9,0,0,1,2,4
DeAndre Jordan,2017,9,3,6,.500,0,0,,3,4,.750,6,6,12,1,3,3,1,3
DeAndre Jordan,2017,22,5,6,.833,0,0,,12,18,.667,4,9,13,2,3,0,0,2
DeAndre Jordan,2017,12,5,7,.714,0,0,,2,3,.667,3,16,19,0,3,0,0,3
DeAndre Jordan,2017,13,5,6,.833,0,0,,3,6,.500,4,13,17,2,1,0,3,2
DeAndre Jordan,2017,13,6,7,.857,0,0,,1,1,1.000,2,11,13,2,1,0,0,1
DeAndre Jordan,2017,11,4,6,.667,0,0,,3,4,.750,2,7,9,2,2,0,2,2
DeAndre Jordan,2017,7,3,7,.429,0,0,,1,4,.250,3,14,17,0,2,1,4,3
DeAndre Jordan,2017,7,3,4,.750,0,0,,1,4,.250,1,9,10,6,0,0,4,1
DeAndre Jordan,2017,12,4,7,.571,0,0,,4,5,.800,2,9,11,0,1,3,1,3
DeAndre Jordan,2017,13,5,6,.833,0,0,,3,8,.375,5,20,25,1,2,0,4,4
DeAndre Jordan,2017,20,9,11,.818,0,0,,2,2,1.000,4,9,13,1,1,0,1,3
DeAndre Jordan,2017,9,4,5,.800,0,0,,1,2,.500,3,8,11,2,3,0,3,4
